"community","landscape","replica","aphid","recovery","landscape_patches","landscape_type"
"2A-1P","1C","4","LE",5136.72732843138,"1","central"
"2A-1P","1C","5","BB",701.613687551188,"1","central"
"2A-1P","1C","5","LE",2678.07249436937,"1","central"
"2A-1P","1C","6","BB",184.851500984252,"1","central"
"2A-1P","1C","6","LE",7092.98623414261,"1","central"
"2A-1P","1P","1","BB",758.882737314086,"1","peripheral"
"2A-1P","1P","1","LE",2299.75565944882,"1","peripheral"
"2A-1P","1P","2","BB",354.427796052632,"1","peripheral"
"2A-1P","1P","2","LE",5692.38695175439,"1","peripheral"
"2A-1P","1P","3","BB",1636.41870551601,"1","peripheral"
"2A-1P","1P","3","LE",6155.98810053381,"1","peripheral"
"2A-1P","1P","4","BB",1023.01228632479,"1","peripheral"
"2A-1P","1P","4","LE",2916.2094017094,"1","peripheral"
"2A-1P","1P","5","BB",977.97860498366,"1","peripheral"
"2A-1P","1P","5","LE",3680.26828022876,"1","peripheral"
"2A-1P","1P","6","BB",133.11126148294,"1","peripheral"
"2A-1P","1P","6","LE",5853.61295658355,"1","peripheral"
"2A-1P","4C","1","BB",3198.42100010936,"4","central"
"2A-1P","4C","1","LE",13381.8362997594,"4","central"
"2A-1P","4C","2","BB",2575.68344703639,"4","central"
"2A-1P","4C","2","LE",6762.85576217723,"4","central"
"2A-1P","4C","3","BB",1528.24718418728,"4","central"
"2A-1P","4C","3","LE",6019.53136042403,"4","central"
"2A-1P","4C","4","BB",3280.19990808824,"4","central"
"2A-1P","4C","4","LE",15225.0172206904,"4","central"
"2A-1P","4C","5","BB",3006.30613994677,"4","central"
"2A-1P","4C","5","LE",5267.08102989353,"4","central"
"2A-1P","4P","1","BB",2709.67490405702,"4","peripheral"
"2A-1P","4P","1","LE",10000.7952302632,"4","peripheral"
"2A-1P","4P","2","BB",1218.53491784038,"4","peripheral"
"2A-1P","4P","2","LE",17289.3029269366,"4","peripheral"
"2A-1P","4P","3","BB",2460.09194640754,"4","peripheral"
"2A-1P","4P","3","LE",7330.77801089517,"4","peripheral"
"2A-1P","4P","4","BB",2845.31862745098,"4","peripheral"
"2A-1P","4P","4","LE",17354.2483660131,"4","peripheral"
"2A-1P","4P","5","BB",3769.55116195741,"4","peripheral"
"2A-1P","4P","5","LE",10769.7513052826,"4","peripheral"
